Data,Fechamento,Maxima,Minima
15/jun/20,20.71,21.09,19.54
16/jun/20,21.36,21.91,21.17
17/jun/20,21.45,21.85,21.15
18/jun/20,21.59,21.77,21.08
19/jun/20,21.30,22.22,21.22
22/jun/20,20.92,21.60,20.90
23/jun/20,21.69,22.07,21.14
24/jun/20,21.03,21.56,20.71
25/jun/20,21.38,21.50,20.73
26/jun/20,20.82,21.47,20.78
29/jun/20,21.66,21.68,20.93
30/jun/20,21.50,21.80,21.09
01/jul/20,21.66,22.25,21.52
02/jul/20,22.18,22.21,21.86
03/jul/20,22.18,22.18,21.08
06/jul/20,22.43,22.86,22.31
07/jul/20,22.26,22.47,22.14
08/jul/20,22.65,22.76,22.40
09/jul/20,22.21,22.81,22.06
10/jul/20,22.42,22.65,22.06
13/jul/20,22.15,22.65,22.13
14/jul/20,22.85,22.96,21.86
15/jul/20,23.34,23.43,22.85
16/jul/20,22.79,23.28,22.52
17/jul/20,22.78,23.03,22.58
20/jul/20,22.76,22.91,22.52
21/jul/20,23.24,23.60,23.14
22/jul/20,23.11,23.41,23.01
23/jul/20,22.59,23.23,22.54
24/jul/20,22.83,23.06,22.42
27/jul/20,23.20,23.25,22.45
28/jul/20,22.81,23.32,22.80
29/jul/20,23.16,23.25,22.92
30/jul/20,22.89,22.92,22.50
31/jul/20,22.28,23.14,22.16
03/ago/20,21.76,22.55,21.72
04/ago/20,21.80,22.05,21.25
05/ago/20,23.20,23.28,22.23
06/ago/20,23.12,23.53,23.01
07/ago/20,22.80,22.91,22.55
10/ago/20,23.33,23.45,22.64
11/ago/20,23.08,23.88,23.06
12/ago/20,23.48,23.68,23.08
13/ago/20,22.84,23.58,22.71
14/ago/20,22.67,22.98,22.53
17/ago/20,22.60,22.84,22.15
18/ago/20,23.02,23.24,22.77
19/ago/20,22.89,23.32,22.75
20/ago/20,22.73,22.87,22.35
21/ago/20,22.56,22.63,22.35
21/ago/20,22.56,22.63,22.35
24/ago/20,23.00,23.13,22.80
25/ago/20,22.84,23.15,22.69
26/ago/20,22.21,22.90,22.04
27/ago/20,22.12,22.47,22.04
28/ago/20,22.48,22.54,22.06
31/ago/20,21.94,22.43,21.88
01/set/20,22.81,22.89,22.12
02/set/20,22.88,23.10,22.52
03/set/20,22.86,23.12,22.57
04/set/20,22.85,23.03,22.58
07/set/20,22.85,23.03,22.58
08/set/20,22.27,22.50,21.91
09/set/20,22.66,22.77,22.49
10/set/20,22.06,22.58,22.06
11/set/20,21.84,22.26,21.75
14/set/20,21.68,21.98,21.43
15/set/20,21.67,22.08,21.55
16/set/20,21.67,21.99,21.60
17/set/20,22.17,22.17,21.46
18/set/20,21.58,22.15,21.55
21/set/20,20.90,21.46,20.81
22/set/20,20.81,21.35,20.75
23/set/20,20.23,20.96,20.20
24/set/20,20.36,20.71,20.06
25/set/20,20.14,20.26,19.87
28/set/20,19.63,20.56,19.63
29/set/20,19.31,19.86,19.25
30/set/20,19.63,20.04,19.43
01/out/20,19.88,20.06,19.13
02/out/20,19.00,19.74,19.00
05/out/20,20.07,20.16,19.24
06/out/20,19.90,20.70,19.87
07/out/20,19.90,20.05,19.56
08/out/20,20.40,20.59,19.86
09/out/20,19.82,20.39,19.80
12/out/20,19.82,20.39,19.80
13/out/20,20.05,20.13,19.73
14/out/20,20.00,20.37,19.95
15/out/20,19.80,19.80,19.44
16/out/20,19.37,19.71,19.30
19/out/20,19.56,19.94,19.25
20/out/20,20.23,20.27,19.59
21/out/20,20.15,20.33,19.83
22/out/20,20.87,20.87,20.05
23/out/20,20.66,21.14,20.54
26/out/20,20.24,20.53,20.03
27/out/20,19.68,20.37,19.68
28/out/20,18.71,19.44,18.61
29/out/20,19.22,19.37,17.74
30/out/20,19.01,19.54,18.87
02/nov/20,19.01,19.54,18.87
03/nov/20,19.65,19.90,19.33
04/nov/20,19.72,20.07,19.27
05/nov/20,19.89,19.99,19.72
06/nov/20,19.75,19.95,19.54
09/nov/20,21.61,22.69,21.04
10/nov/20,23.08,23.15,21.81
11/nov/20,22.88,23.36,22.40
12/nov/20,21.91,22.82,21.77
13/nov/20,22.63,22.80,21.89
16/nov/20,23.29,23.63,23.13
17/nov/20,23.69,24.14,22.98
18/nov/20,23.55,24.13,23.55
19/nov/20,23.82,23.94,23.37
20/nov/20,23.65,23.99,23.47
23/nov/20,25.10,25.10,24.04
24/nov/20,26.22,26.67,25.64
25/nov/20,26.25,26.50,25.67
26/nov/20,25.82,25.95,25.56
27/nov/20,25.50,26.06,25.45
30/nov/20,24.90,25.88,24.84
01/dez/20,25.60,25.77,25.29
02/dez/20,25.91,26.50,25.33
03/dez/20,26.64,26.89,26.05
04/dez/20,27.53,27.57,27.06
07/dez/20,27.00,27.79,26.67
08/dez/20,26.66,27.14,26.46
09/dez/20,26.94,26.97,26.40
10/dez/20,27.82,28.20,27.13
11/dez/20,27.57,27.84,27.28
14/dez/20/27.62,28.27,27.62
15/dez/20/27.85,27.99,27.64
16/dez/20,28.19,28.24,27.47
17/dez/20,28.24,28.39,28.07
18/dez/20,28.15,28.32,28.02
21/dez/20,27.02,27.49,26.52
22/dez/20,27.28,27.47,27.05
23/dez/20,27.95,28.25,27.35
24/dez/20,27.95,28.25,27.35
25/dez/20,27.95,28.25,27.35
28/dez/20,28.18,28.52,28.18
29/dez/20,28.27,28.43,27.99
30/dez/20,28.34,28.49,28.20
31/dez/20,28.34,28.49,28.20
01/jan/21,28.34,28.49,28.20
04/jan/21,28.91,29.18,28.53
05/jan/21,30.04,30.18,28.24
06/jan/21,30.07,30.90,30.05
07/jan/21,31.00,31.15,30.34
08/jan/21,31.12,31.76,30.35
11/Jan/21,30.86,31.06,30.40
12/Jan/21,30.63,31.56,30.63
13/Jan/21,29.15,30.86,29.00
14/Jan/21,29.45,29.67,28.72
15/Jan/21,28.12,29.08,28.03
18/Jan/21,28.07,28.85,28.01
19/Jan/21,28.69,28.86,27.64
20/Jan/21,28.21,29.12,28.11
21/Jan/21,27.55,28.40,27.51
22/Jan/21,27.09,27.24,26.56
25/Jan/21,27.09,27.24,26.56
26/Jan/21,27.00,27.97,26.82
27/Jan/21,27.38,28.17,26.53
29/Jan/21,26.69,27.68,26.69
01/Fev/21,27.53,27.68,26.83
02/Fev/21,28.66,29.14,28.20
03/Fev/21,28.85,29.14,28.66
04/Fev/21,28.82,28.99,28.21
05/Fev/21,28.84,30.09,28.32
08/Fev/21,28.11,29.30,27.80
09/Fev/21,27.54,28.37,27.38
11/Fev/21,28.08,28.50,27.87
12/Fev/21,28.44,28.49,27.61
15/Fev/21,28.44,28.49,27.61
16/Fev/21,28.44,28.49,27.61
17/Fev/21,29.59,29.60,28.13
18/Fev/21,29.27,30.92,29.04
19/Fev/21,27.33,28.49,27.17
22/Fev/21,21.45,23.20,21.40
23/Fev/21,24.06,24.26,22.71
