Data;Fechamento;Maxima;Minima
15/jun/20;20.71;21.09;19.54
;21.36;21.91;21.17
;21.45;21.85;21.15
;21.59;21.77;21.08
;21.30;22.22;21.22
;20.92;21.60;20.90
;21.69;22.07;21.14
;21.03;21.56;20.71
;21.38;21.50;20.73
;20.82;21.47;20.78
;21.66;21.68;20.93
;21.50;21.80;21.09
;21.66;22.25;21.52
;22.18;22.21;21.86
;22.18;22.18;21.08
;22.43;22.86;22.31
;22.26;22.47;22.14
;22.65;22.76;22.40
;22.21;22.81;22.06
;22.42;22.65;22.06
;22.15;22.65;22.13
;22.85;22.96;21.86
15/jul/20;23.34;23.43;22.85
;22.79;23.28;22.52
;22.78;23.03;22.58
;22.76;22.91;22.52
;23.24;23.60;23.14
;23.11;23.41;23.01
;22.59;23.23;22.54
;22.83;23.06;22.42
;23.20;23.25;22.45
;22.81;23.32;22.80
;23.16;23.25;22.92
;22.89;22.92;22.50
;22.28;23.14;22.16
;21.76;22.55;21.72
;21.80;22.05;21.25
;23.20;23.28;22.23
;23.12;23.53;23.01
;22.80;22.91;22.55
;23.33;23.45;22.64
;23.08;23.88;23.06
;23.48;23.68;23.08
;22.84;23.58;22.71
;22.67;22.98;22.53
17/ago/20;22.60;22.84;22.15
;23.02;23.24;22.77
;22.89;23.32;22.75
;22.73;22.87;22.35
;22.56;22.63;22.35
;22.56;22.63;22.35
;23.00;23.13;22.80
;22.84;23.15;22.69
;22.21;22.90;22.04
;22.12;22.47;22.04
;22.48;22.54;22.06
;21.94;22.43;21.88
;22.81;22.89;22.12
;22.88;23.10;22.52
;22.86;23.12;22.57
;22.85;23.03;22.58
;22.85;23.03;22.58
;22.27;22.50;21.91
;22.66;22.77;22.49
;22.06;22.58;22.06
;21.84;22.26;21.75
;21.68;21.98;21.43
;21.67;22.08;21.55
;21.67;21.99;21.60
17/set/20;22.17;22.17;21.46
;21.58;22.15;21.55
;20.90;21.46;20.81
;20.81;21.35;20.75
;20.23;20.96;20.20
;20.36;20.71;20.06
;20.14;20.26;19.87
;19.63;20.56;19.63
;19.31;19.86;19.25
;19.63;20.04;19.43
;19.88;20.06;19.13
;19.00;19.74;19.00
;20.07;20.16;19.24
;19.90;20.70;19.87
;19.90;20.05;19.56
;20.40;20.59;19.86
;19.82;20.39;19.80
;19.82;20.39;19.80
;20.05;20.13;19.73
;20.00;20.37;19.95
;19.80;19.80;19.44
;19.37;19.71;19.30
19/out/20;19.56;19.94;19.25
;20.23;20.27;19.59
;20.15;20.33;19.83
;20.87;20.87;20.05
;20.66;21.14;20.54
;20.24;20.53;20.03
;19.68;20.37;19.68
;18.71;19.44;18.61
;19.22;19.37;17.74
;19.01;19.54;18.87
;19.01;19.54;18.87
;19.65;19.90;19.33
;19.72;20.07;19.27
;19.89;19.99;19.72
;19.75;19.95;19.54
;21.61;22.69;21.04
;23.08;23.15;21.81
;22.88;23.36;22.40
;21.91;22.82;21.77
;22.63;22.80;21.89
;23.29;23.63;23.13
;23.69;24.14;22.98
;23.55;24.13;23.55
19/nov/20;23.82;23.94;23.37
;23.65;23.99;23.47
;25.10;25.10;24.04
;26.22;26.67;25.64
;26.25;26.50;25.67
;25.82;25.95;25.56
;25.50;26.06;25.45
;24.90;25.88;24.84
;25.60;25.77;25.29
;25.91;26.50;25.33
;26.64;26.89;26.05
;27.53;27.57;27.06
;27.00;27.79;26.67
;26.66;27.14;26.46
;26.94;26.97;26.40
;27.82;28.20;27.13
;27.57;27.84;27.28
;28.27;27.62;
;27.99;27.64;
;28.19;28.24;27.47
;28.24;28.39;28.07
;28.15;28.32;28.02
21/dez/20;27.02;27.49;26.52
;27.28;27.47;27.05
;27.95;28.25;27.35
;27.95;28.25;27.35
;27.95;28.25;27.35
;28.18;28.52;28.18
;28.27;28.43;27.99
;28.34;28.49;28.20
;28.34;28.49;28.20
;28.34;28.49;28.20
;28.91;29.18;28.53
;30.04;30.18;28.24
;30.07;30.90;30.05
;31.00;31.15;30.34
;31.12;31.76;30.35
;30.86;31.06;30.40
;30.63;31.56;30.63
;29.15;30.86;29.00
;29.45;29.67;28.72
;28.12;29.08;28.03
;28.07;28.85;28.01
;28.69;28.86;27.64
;28.21;29.12;28.11
21/jan/21;27.55;28.40;27.51
;27.09;27.24;26.56
;27.09;27.24;26.56
;27.00;27.97;26.82
;27.38;28.17;26.53
;26.69;27.68;26.69
;27.53;27.68;26.83
;28.66;29.14;28.20
;28.85;29.14;28.66
;28.82;28.99;28.21
;28.84;30.09;28.32
;28.11;29.30;27.80
;27.54;28.37;27.38
;28.08;28.50;27.87
;28.44;28.49;27.61
;28.44;28.49;27.61
;28.44;28.49;27.61
;29.59;29.60;28.13
;29.27;30.92;29.04
;27.33;28.49;27.17
22/fev/21;21.45;23.20;21.40
;24.06;24.26;22.71
;24.40;25.00;24.01
;23.19;25.25;23.10
;22.24;23.42;21.97
;22.00;23.04;21.92
;21.99;22.33;20.67
;21.19;21.89;20.48
;22.22;22.40;21.12
;22.39;23.22;22.29
;21.10;22.28;20.96
;21.59;21.95;20.86
;22.34;22.34;21.58
;23.29;23.49;22.61
;23.17;23.38;22.86
;23.65;23.68;23.10
;23.30;23.68;23.23
;24.04;24.13;23.11
;23.24;23.90;23.07
;23.99;24.04;23.18
;23.99;24.04;23.18
;23.61;23.78;23.23
;22.81;23.63;22.80
24/mar/21;22.80;23.54;22.75
;23.16;23.30;22.16
;23.46;23.88;23.11
;23.82;23.83;23.28
;23.83;23.99;23.57
;24.12;24.23;23.78
;23.86;24.39;23.78
;23.86;24.39;23.78
;24.02;24.20;23.68
;24.01;24.37;23.91
;24.02;24.34;23.93
;23.72;24.04;23.37
;23.64;23.78;23.37
;23.88;24.37;23.78
;23.98;24.11;23.69
;24.35;24.58;23.98
;23.10;23.83;23.02
;22.98;23.24;22.81
;24.25;24.89;22.77
;23.83;24.59;23.76
;23.83;24.59;23.76
;23.73;24.19;23.65
23/abr/21;23.70;23.94;23.51
;23.78;24.05;23.61
;23.15;24.17;23.10
;23.92;24.09;23.36
;23.62;24.29;23.42
;23.65;23.93;23.28
;23.43;23.81;23.30
;22.91;23.64;22.88
;23.82;23.95;23.12
;23.50;23.85;23.40
;24.36;24.45;23.46
;24.75;24.98;24.58
;25.14;25.17;24.32
;24.79;25.53;24.69
;24.93;25.10;24.43
;26.25;26.38;25.55
;26.64;26.67;26.20
;26.38;26.80;26.27
;26.16;26.35;25.80
;26.16;26.35;25.80
;25.93;26.28;25.72
;25.95;26.31;25.94
;26.35;26.52;25.99
25/mai/21;25.88;26.62;25.78
26/mai/21;26.07;26.18;25.65
27/mai/21;25.91;26.25;25.77
28/mai/21;27.00;27.02;26.15
;;;
