  data,   abre,fecho,hmin, min,  hmax, max
12/ago/22,29.10,31.67,10:10,29.08,16:38,31.83
15/ago/22,30.88,31.60,12:20,30.55,13:30,32.23
16/ago/22,31.72,32.01,10:02,31.50,16:38,32.07
17/ago/22,31.65,32.72,10:05,31.60,17:28,32.82
18/ago/22,33.10,33.42,11:33,32.87,10:04,33.66
19/ago/22,32.92,31.74,16:40,31.33,10:38,33.15
22/ago/22,31.74,32.32,10:08,30.48,13:49,32.58
23/ago/22,32.63,33.44,10:05,32.62,17:48,33.50
24/ago/22,33.54,33.06,10:03,33.25,11:10,34.12
25/ago/22,34.10,32.72,12:26,32.67,10:10,34.36
26/ago/22,33.28,33.54,10:35,32.57,16:39,33.64
29/ago/22,33.55,34.37,10:03,33.45,14:15,35.08
30/ago/22,34.00,32.35,17:48,32.25,10:13,34.22
31/ago/22,32.07,33.26,10:13,31.82,15:13,33.44
01/set/22,33.36,33.87,11:09,32.76,15:35,33.95
02/set/22,34.44,33.38,16:44,33.26,10:12,34.57
05/set/22,33.85,33.23,12:36,33.15,10:10,34.11



















