Data;Fechamento;Maxima;Minima
04/dez/20;27.53;27.57;27.06
03/dez/20;26.64;26.89;26.05
02/dez/20;25.91;26.5;25.33
02/dez/20;25.91;26.5;25.33
01/dez/20;25.6;25.77;25.29
30/nov/20;24.9;25.88;24.84
27/nov/20;25.5;26.06;25.45
26/nov/20;25.82;25.95;25.56
25/nov/20;26.25;26.5;25.67
24/nov/20;26.22;26.67;25.64
23/nov/20;25.1;25.1;24.04
20/nov/20;23.65;23.99;23.47
19/nov/20;23.82;23.94;23.37
18/nov/20;23.55;24.13;23.55
17/nov/20;23.69;24.14;22.98
16/nov/20;23.29;23.63;23.13
13/nov/20;22.63;22.8;21.89
12/nov/20;21.91;22.82;21.77
11/nov/20;22.88;23.36;22.4
10/nov/20;23.08;23.15;21.81
09/nov/20;21.61;22.69;21.04
06/nov/20;19.75;19.95;19.54
05/nov/20;19.89;19.99;19.72
04/nov/20;19.72;20.07;19.27
03/nov/20;19.65;19.9;19.33
02/nov/20;19.01;19.54;18.87
30/out/20;19.01;19.54;18.87
29/out/20;19.22;19.37;17.74
28/out/20;18.71;19.44;18.61
27/out/20;19.68;20.37;19.68
26/out/20;20.24;20.53;20.03
23/out/20;20.66;21.14;20.54
22/out/20;20.87;20.87;20.05
21/out/20;20.15;20.33;19.83
20/out/20;20.23;20.27;19.59
19/out/20;19.56;19.94;19.25
16/out/20;19.37;19.71;19.3
15/out/20;19.8;19.8;19.44
14/out/20;20;20.37;19.95
13/out/20;20.05;20.13;19.73
12/out/20;19.82;20.39;19.8
09/out/20;19.82;20.39;19.8
08/out/20;20.4;20.59;19.86
07/out/20;19.9;20.05;19.56
06/out/20;19.9;20.7;19.87
05/out/20;20.07;20.16;19.24
02/out/20;19;19.74;19
01/out/20;19.88;20.06;19.13
30/set/20;19.63;20.04;19.43
29/set/20;19.31;19.86;19.25
28/set/20;19.63;20.56;19.63
25/set/20;20.14;20.26;19.87
24/set/20;20.36;20.71;20.06
23/set/20;20.23;20.96;20.2
22/set/20;20.81;21.35;20.75
21/set/20;20.9;21.46;20.81
18/set/20;21.58;22.15;21.55
17/set/20;22.17;22.17;21.46
16/set/20;21.67;21.99;21.6
15/set/20;21.67;22.08;21.55
14/set/20;21.68;21.98;21.43
11/set/20;21.84;22.26;21.75
10/set/20;22.06;22.58;22.06
09/set/20;22.66;22.77;22.49
08/set/20;22.27;22.5;21.91
07/set/20;22.85;23.03;22.58
04/set/20;22.85;23.03;22.58
03/set/20;22.86;23.12;22.57
02/set/20;22.88;23.1;22.52
01/set/20;22.81;22.89;22.12
31/ago/20;21.94;22.43;21.88
28/ago/20;22.48;22.54;22.06
27/ago/20;22.12;22.47;22.04
26/ago/20;22.21;22.9;22.04
25/ago/20;22.84;23.15;22.69
24/ago/20;23;23.13;22.8
21/ago/20;22.56;22.63;22.35
21/ago/20;22.56;22.63;22.35
20/ago/20;22.73;22.87;22.35
19/ago/20;22.89;23.32;22.75
18/ago/20;23.02;23.24;22.77
17/ago/20;22.6;22.84;22.15
14/ago/20;22.67;22.98;22.53
13/ago/20;22.84;23.58;22.71
12/ago/20;23.48;23.68;23.08
11/ago/20;23.08;23.88;23.06
10/ago/20;23.33;23.45;22.64
07/ago/20;22.8;22.91;22.55
06/ago/20;23.12;23.53;23.01
05/ago/20;23.2;23.28;22.23
04/ago/20;21.8;22.05;21.25
03/ago/20;21.76;22.55;21.72
31/jul/20;22.28;23.14;22.16
30/jul/20;22.89;22.92;22.5
29/jul/20;23.16;23.25;22.92
28/jul/20;22.81;23.32;22.8
27/jul/20;23.2;23.25;22.45
24/jul/20;22.83;23.06;22.42
23/jul/20;22.59;23.23;22.54
22/jul/20;23.11;23.41;23.01
21/jul/20;23.24;23.6;23.14
20/jul/20;22.76;22.91;22.52
17/jul/20;22.78;23.03;22.58
16/jul/20;22.79;23.28;22.52
15/jul/20;23.34;23.43;22.85
14/jul/20;22.85;22.96;21.86
13/jul/20;22.15;22.65;22.13
10/jul/20;22.42;22.65;22.06
09/jul/20;22.21;22.81;22.06
08/jul/20;22.65;22.76;22.4
07/jul/20;22.26;22.47;22.14
06/jul/20;22.43;22.86;22.31
03/jul/20;22;22.18;21.8
02/jul/20;22.1;22.21;21.86
01/jul/20;21.66;22.25;21.52
30/jun/20;21.5;21.8;21.09
29/jun/20;21.66;21.68;20.93
26/jun/20;20.82;21.47;20.78
25/jun/20;21.38;21.5;20.73
24/jun/20;21.03;21.56;20.71
23/jun/20;21.69;22.07;21.14
22/jun/20;20.92;21.6;20.9
19/jun/20;21.3;22.22;21.22
18/jun/20;21.59;21.77;21.08
17/jun/20;21.45;21.85;21.15
16/jun/20;21.36;21.91;21.17
15/jun/20;20.71;21.09;19.54
;;;
