Data;Fechamento;Máxima;Mínima
27/11/2020;25.5;26.06;25.45
26/11/2020;25.82;25.95;25.56
25/11/2020;26.25;26.5;25.67
24/11/2020;26.22;26.67;25.64
23/11/2020;25.1;25.1;24.04
20/11/2020;23.65;23.99;23.47
19/11/2020;23.82;23.94;23.37
18/11/2020;23.55;24.13;23.55
17/11/2020;23.69;24.14;22.98
16/11/2020;23.29;23.63;23.13
13/11/2020;22.63;22.8;21.89
12/11/2020;21.91;22.82;21.77
11/11/2020;23.08;23.08;23.08
10/11/2020;23.08;23.15;21.81
09/11/2020;21.61;22.69;21.04
06/11/2020;19.75;19.95;19.54
05/11/2020;19.89;19.99;19.72
04/11/2020;19.72;20.07;19.27
03/11/2020;19.65;19.9;19.33
02/11/2020;19.01;19.54;18.87
30/10/2020;19.01;19.54;18.87
29/10/2020;19.22;19.37;17.74
28/10/2020;18.71;19.44;18.61
27/10/2020;19.68;20.37;19.68
26/10/2020;20.24;20.53;20.03
23/10/2020;20.66;21.14;20.54
22/10/2020;20.87;20.87;20.05
21/10/2020;20.15;20.33;19.83
20/10/2020;20.23;20.27;19.59
19/10/2020;19.56;19.94;19.25
16/10/2020;19.37;19.71;19.3
15/10/2020;19.8;19.8;19.44
14/10/2020;20;20.37;19.95
13/10/2020;20.05;20.13;19.73
12/10/2020;19.82;20.39;19.8
09/10/2020;19.82;20.39;19.8
08/10/2020;20.4;20.59;19.86
07/10/2020;19.9;20.05;19.56
06/10/2020;19.9;20.7;19.87
05/10/2020;20.07;20.16;19.24
02/10/2020;19;19.74;19
01/10/2020;19.88;20.06;19.13
30/09/2020;19.63;20.04;19.43
29/09/2020;19.31;19.86;19.25
28/09/2020;19.63;20.56;19.63
25/09/2020;20.14;20.26;19.87
24/09/2020;20.36;20.71;20.06
23/09/2020;20.23;20.96;20.2
22/09/2020;20.81;21.35;20.75
21/09/2020;20.9;21.46;20.81
18/09/2020;21.58;22.15;21.55
17/09/2020;22.17;22.17;21.46
16/09/2020;21.67;21.99;21.6
15/09/2020;21.67;22.08;21.55
14/09/2020;21.68;21.98;21.43
11/09/2020;21.84;22.26;21.75
10/09/2020;22.06;22.58;22.06
09/09/2020;22.66;22.77;22.49
08/09/2020;22.27;22.5;21.91
07/09/2020;22.85;23.03;22.58
04/09/2020;22.85;23.03;22.58
03/09/2020;22.86;23.12;22.57
02/09/2020;22.88;23.1;22.52
01/09/2020;22.81;22.89;22.12
31/08/2020;21.94;22.43;21.88
28/08/2020;22.48;22.54;22.06
27/08/2020;22.12;22.47;22.04
26/08/2020;22.21;22.9;22.04
25/08/2020;22.84;23.15;22.69
24/08/2020;23;23.13;22.8
21/08/2020;22.56;22.63;22.35
21/08/2020;22.56;22.63;22.35
20/08/2020;22.73;22.87;22.35
19/08/2020;22.89;23.32;22.75
18/08/2020;23.02;23.24;22.77
17/08/2020;22.6;22.84;22.15
14/08/2020;22.67;22.98;22.53
13/08/2020;22.84;23.58;22.71
12/08/2020;23.48;23.68;23.08
11/08/2020;23.08;23.88;23.06
10/08/2020;23.33;23.45;22.64
07/08/2020;22.8;22.91;22.55
06/08/2020;23.12;23.53;23.01
05/08/2020;23.2;23.28;22.23
04/08/2020;21.8;22.05;21.25
03/08/2020;21.76;22.55;21.72
31/07/2020;22.28;23.14;22.16
30/07/2020;22.89;22.92;22.5
29/07/2020;23.16;23.25;22.92
28/07/2020;22.81;23.32;22.8
27/07/2020;23.2;23.25;22.45
24/07/2020;22.83;23.06;22.42
23/07/2020;22.59;23.23;22.54
22/07/2020;23.11;23.41;23.01
21/07/2020;23.24;23.6;23.14
20/07/2020;22.76;22.91;22.52
17/07/2020;22.78;23.03;22.58
16/07/2020;22.79;23.28;22.52
15/07/2020;23.34;23.43;22.85
14/07/2020;22.85;22.96;21.86
13/07/2020;22.15;22.65;22.13
10/07/2020;22.42;22.65;22.06
09/07/2020;22.21;22.81;22.06
08/07/2020;22.65;22.76;22.4
07/07/2020;22.26;22.47;22.14
06/07/2020;22.43;22.86;22.31
03/07/2020;22;22.18;21.8
02/07/2020;22.1;22.21;21.86
01/07/2020;21.66;22.25;21.52
30/06/2020;21.5;21.8;21.09
29/06/2020;21.66;21.68;20.93
26/06/2020;20.82;21.47;20.78
25/06/2020;21.38;21.5;20.73
24/06/2020;21.03;21.56;20.71
23/06/2020;21.69;22.07;21.14
22/06/2020;20.92;21.6;20.9
19/06/2020;21.3;22.22;21.22
18/06/2020;21.59;21.77;21.08
17/06/2020;21.45;21.85;21.15
16/06/2020;21.36;21.91;21.17
15/06/2020;20.71;21.09;19.54
12/06/2020;20.57;21.17;20.1
11/06/2020;21.3;21.9;21
10/06/2020;21.3;21.9;21
09/06/2020;21.78;22.04;21.64
