DICIONÁRIO DE VARIÁVEIS - ENEM 2019;;;;;
;;;;;
NOME DA VARIÁVEL;Descrição;Variáveis Categóricas;;Tamanho ;Tipo
;;Categoria;Descrição;;
DADOS DO PARTICIPANTE;;;;;
NU_INSCRICAO;Número de inscrição1 ;;;12;Numérica
NU_ANO;Ano do Enem;;;4;Numérica
CO_MUNICIPIO_RESIDENCIA;Código do município de residência ;;;7;Numérica
;1º dígito: Região;;;;
;1º e 2º dígitos: UF;;;;
;3º, 4º, 5º e 6º dígitos: Município;;;;
;7º dígito: dígito verificador;;;;
NO_MUNICIPIO_RESIDENCIA;Nome do município de residência;;;150;Alfanumérica
CO_UF_RESIDENCIA;Código da Unidade da Federação de residência;;;2;Numérica
SG_UF_RESIDENCIA;Sigla da Unidade da Federação de residência;;;2;Alfanumérica
NU_IDADE;Idade2;;;3;Numérica
TP_SEXO;Sexo;M;Masculino;1;Alfanumérica
;;F;Feminino ;;
TP_ESTADO_CIVIL;Estado Civil;0;Não informado;1;Numérica
;;1;Solteiro(a);;
;;2;Casado(a)/Mora com companheiro(a);;
;;3;Divorciado(a)/Desquitado(a)/Separado(a);;
;;4;Viúvo(a);;
TP_COR_RACA;Cor/raça;0;Não declarado;1;Numérica
;;1;Branca;;
;;2;Preta;;
;;3;Parda;;
;;4;Amarela;;
;;5;Indígena ;;
TP_NACIONALIDADE;Nacionalidade;0;Não informado;1;Numérica
;;1;Brasileiro(a);;
;;2;Brasileiro(a) Naturalizado(a);;
;;3;Estrangeiro(a);;
;;4;Brasileiro(a) Nato(a), nascido(a) no exterior;;
CO_MUNICIPIO_NASCIMENTO;Código do município de nascimento;;;7;Numérica
;1º dígito: Região;;;;
;1º e 2º dígitos: UF;;;;
;3º, 4º, 5º e 6º dígitos: Município;;;;
;7º dígito: dígito verificador;;;;
NO_MUNICIPIO_NASCIMENTO;Nome do município de nascimento;;;150;Alfanumérica
CO_UF_NASCIMENTO;Código da Unidade da Federação de nascimento;;;2;Numérica
SG_UF_NASCIMENTO;Sigla da Unidade da Federação de nascimento;;;2;Alfanumérica
TP_ST_CONCLUSAO;Situação de conclusão do Ensino Médio;1;Já concluí o Ensino Médio;1;Numérica
;;2;Estou cursando e concluirei o Ensino Médio em 2019;;
;;3;Estou cursando e concluirei o Ensino Médio após 2019;;
;;4;Não concluí e não estou cursando o Ensino Médio;;
TP_ANO_CONCLUIU;Ano de Conclusão do Ensino Médio;0;Não informado;1;Numérica
;;1;2018;;
;;2;2017;;
;;3;2016;;
;;4;2015;;
;;5;2014;;
;;6;2013;;
;;7;2012;;
;;8;2011;;
;;9;2010;;
;;10;2009;;
;;11;2008;;
;;12;2007;;
;;13;Antes de 2007;;
TP_ESCOLA;Tipo de escola do Ensino Médio;1;Não Respondeu;1;Numérica
;;2;Pública;;
;;3;Privada;;
;;4;Exterior;;
TP_ENSINO;Tipo de instituição que concluiu ou concluirá o Ensino Médio ;1;Ensino Regular;1;Numérica
;;2;Educação Especial - Modalidade Substitutiva;;
;;3;Educação de Jovens e Adultos;;
IN_TREINEIRO;Indica se o inscrito fez a prova com intuito de apenas treinar seus conhecimentos3;1;Sim;1;Numérica
;;0;Não;;
DADOS DA ESCOLA;;;;;
CO_ESCOLA;Código da Escola4;;;8;Numérica
"CO_MUNICIPIO_ESC
";Código do município da escola ;;;7;Numérica
;1º dígito: Região;;;;
;1º e 2º dígitos: UF;;;;
;3º, 4º, 5º e 6º dígitos: Município;;;;
;7º dígito: dígito verificador;;;;
NO_MUNICIPIO_ESC;Nome do município da escola;;;150;Alfanumérica
CO_UF_ESC;Código da Unidade da Federação da escola;;;2;Numérica
SG_UF_ESC;Sigla da Unidade da Federação da escola;;;2;Alfanumérica
TP_DEPENDENCIA_ADM_ESC;Dependência administrativa (Escola);1;Federal;1;Numérica
;;2;Estadual;;
;;3;Municipal;;
;;4;Privada;;
TP_LOCALIZACAO_ESC;Localização (Escola);1;Urbana;1;Numérica
;;2;Rural;;
TP_SIT_FUNC_ESC;Situação de funcionamento (Escola);1;Em atividade;1;Numérica
;;2;Paralisada;;
;;3;Extinta;;
DADOS DOS PEDIDOS DE ATENDIMENTO ESPECIALIZADO;;;;;
IN_BAIXA_VISAO;Indicador de baixa visão5;1;Sim;1;Numérica
;;0;Não;;
IN_CEGUEIRA;Indicador de cegueira5;1;Sim;1;Numérica
;;0;Não;;
IN_SURDEZ;Indicador de surdez5;1;Sim;1;Numérica
;;0;Não;;
IN_DEFICIENCIA_AUDITIVA;Indicador de deficiência auditiva5;1;Sim;1;Numérica
;;0;Não;;
IN_SURDO_CEGUEIRA;Indicador de surdo-cegueira5;1;Sim;1;Numérica
;;0;Não;;
IN_DEFICIENCIA_FISICA;Indicador de deficiência física5;1;Sim;1;Numérica
;;0;Não;;
