Ano,Total,HBCO,HNEG,MBCA,MNEG,NC,Glossário
1979,10011,NaN,NaN,NaN,NaN,NaN,HBCO-homem não negro
1980,12535,NaN,NaN,NaN,NaN,NaN,HNEG-homem negro
1981,13706,NaN,NaN,NaN,NaN,NaN,MBCA-mulher não negra
1982,14035,NaN,NaN,NaN,NaN,NaN,MNEG-mulher negra
1983,15699,NaN,NaN,NaN,NaN,NaN,NC-não-constante
1984,18004,NaN,NaN,NaN,NaN,NaN,
1985,17966,NaN,NaN,NaN,NaN,NaN,
1986,18660,NaN,NaN,NaN,NaN,NaN,
1987,21148,NaN,NaN,NaN,NaN,NaN,
1988,21328,NaN,NaN,NaN,NaN,NaN,
1989,26392,NaN,NaN,NaN,NaN,NaN,
1990,29390,NaN,NaN,NaN,NaN,NaN,
1991,27969,NaN,NaN,NaN,NaN,NaN,
1992,26098,NaN,NaN,NaN,NaN,NaN,
1993,27932,NaN,NaN,NaN,NaN,NaN,
1994,29740,NaN,NaN,NaN,NaN,NaN,
1995,33774,NaN,NaN,NaN,NaN,NaN,
1996,35205,NaN,NaN,NaN,NaN,NaN,
1997,36904,NaN,NaN,NaN,NaN,NaN,
1998,38427,NaN,NaN,NaN,NaN,NaN,
1999,39367,NaN,NaN,NaN,NaN,NaN,
2000,41657,16460,21895,1765,1648,111,
2001,44129,17198,23657,1720,1779,225,
2002,45895,17322,25246,1781,1756,210,
2003,47569,17515,26753,1770,1866,335,
2004,45053,15819,26191,1706,1848,511,
2005,44220,14422,26837,1631,1979,649,
2006,45611,14511,28131,1641,2133,805,
2007,44392,13149,28468,1518,2049,792,
2008,46564,13469,30436,1579,2255,1175,
2009,47713,13607,31497,1636,2419,1446,
2010,48493,12830,32855,1626,2611,1429,
2011,48218,12719,32885,1557,2714,1657,
2012,52242,13227,35825,1585,2917,1312,
2013,52522,12867,36265,1641,2881,1132,
2014,55525,13496,38938,1620,2992,1521,
2015,54361,12855,38680,1539,2902,1615,
2016,57773,13354,42354,1488,3005,2428,
2017,60559,13187,46217,1544,3288,3677,
