Ano,Total,Masc,Fem,Branca,Negra,Nconst
1979,10011,NAN,NAN,NAN,NAN,NAN
1980,12535,NAN,NAN,NAN,NAN,NAN
1981,13706,NAN,NAN,NAN,NAN,NAN
1982,14035,NAN,NAN,NAN,NAN,NAN
1983,15699,NAN,NAN,NAN,NAN,NAN
1984,18004,NAN,NAN,NAN,NAN,NAN
1985,17966,NAN,NAN,NAN,NAN,NAN
1986,18660,NAN,NAN,NAN,NAN,NAN
1987,21148,NAN,NAN,NAN,NAN,NAN
1988,21328,NAN,NAN,NAN,NAN,NAN
1989,26392,NAN,NAN,NAN,NAN,NAN
1990,29390,NAN,NAN,NAN,NAN,NAN
1991,27969,NAN,NAN,NAN,NAN,NAN
1992,26098,NAN,NAN,NAN,NAN,NAN
1993,27932,NAN,NAN,NAN,NAN,NAN
1994,29740,NAN,NAN,NAN,NAN,NAN
1995,33774,NAN,NAN,NAN,NAN,NAN
1996,35205,NAN,NAN,NAN,NAN,NAN
1997,36904,NAN,NAN,NAN,NAN,NAN
1998,38427,NAN,NAN,NAN,NAN,NAN
1999,39367,NAN,NAN,NAN,NAN,NAN
2000,41657,3413,18225,18225,23543,111
2001,44129,40855,3499,18918,25436,225
2002,45895,42568,3537,19103,27002,210
2003,47569,44268,3636,19285,28619,335
2004,45053,42010,3554,17525,28039,511
2005,44220,41259,3610,16053,28816,649
2006,45611,42642,3774,16152,30264,805
2007,44392,41617,3567,14667,30517,792
2008,46564,43905,3834,15048,32691,1175
2009,47713,45104,4055,15243,33916,1446
2010,48493,45685,4237,14456,35466,1429
2011,48218,45604,4271,14276,35599,1657
2012,52242,49052,4502,14812,38742,1312
2013,52522,49132,4522,14508,39146,1132
2014,55525,52434,4612,15116,41930,1521
2015,54361,51535,4441,14394,41582,1615
2016,57773,55708,4493,14842,45359,2428
2017,60559,59404,4832,14731,49505,3677

