C,Data,PDez,SDz,TDz,QDez,QiDez,SxDez,NGan,UF,Rateio
1,11/03/96,41, 5, 4,52,30,33,0,,
2,18/03/96, 9,39,37,49,43,41,1,PR,2.307.162
3,25/03/96,36,30,10,11,29,47,2,RN,391.192
4,01/04/96, 6,59,42,27,1,5,0,,0
5,08/04/96,1,19,46, 6,16,2,0,,0
6,15/04/96,19,40,7,13,22,47,0,,0
7,22/04/96,56,38,21,20,3,5,0,,0
8,29/04/96,53,17,38, 4,47,37,0,,0
9,06/05/96,55,43,56,54,8,60,0,,0
10,13/05/96,25,4,18,57,21,38,0,,0
11,20/05/96,25,15,58,37,59,38,1,RJ,15.591.365
12,27/05/96,20,27,43,16,19,4,0,,0
13,03/06/96,47,32,50,54,18,56,0,,0
14,10/06/96,16,2,27,47,23,53,0,,0
15,17/06/96,60,12,33,52,35,51,0,,0
16,24/06/96,60,58,49,32,20,34,0,,0
17,01/07/96,10,20, 6,19,51,13,1,SP,6.789.869
18,08/07/96,37,36,56,27,42,23,0,,0
19,15/07/96, 5,25,12,10,60,24,0,,0
20,22/07/96,25,28,30,33,51,11,0,,0
21,29/07/96,49,46,6,53,33,36,0,,0
22,05/08/96,9,38,56, 1,31,46,0,,0
23,12/08/96,17,52,51,59,39,37,0,,0
24,19/08/96,1, 8,14,28,33,43,1,,18.661.679
25,25/08/96,56,50,55,54,24,43,0,,0
26,01/09/96,50,53,57,10,58,22,0,,0
27,08/09/96,44,33,13,51,17,20,0,,0
28,15/09/96,60, 6,22, 3,24,54,0,,0
29,22/09/96,14,56,58, 8,43,3,1,RS,5.401.793
30,29/09/96,38,50,7,29,15,14,0,,0
31,06/10/96,56,19,28,48,17,45,0,,0
32,13/10/96,43,33,14,36,5,44,0,,0
33,20/10/96,5,33,49,17,42,39,1,MG,13.997.410
34,27/10/96,15,13,57,53,40,17,0,,0
35,03/11/96,21,57,16,23,54,4,0,,0
36,10/11/96,13, 3,51,17,29,25,0,,0
37,17/11/96,22,6,7,52,38,60,0,,0
38,24/11/96,55,42,10,43,45,54,0,,0
39,01/12/96,16,37,45,52,56,12,0,,0
40,08/12/96,3,12,46,5,47,8,0,,0
41,15/12/96,38,26,35,39,12,47,1,BA,17.019.238
42,22/12/96,24,36,19,33,7,11,0,,0
43,29/12/96,2,58,25,6,26,17,0,,0
44,05/01/97,47,38,18,14,29,44,0,,0
45,12/01/97,30,7,37,55,44,53,0,,0
46,19/01/97,32,46,1,60,24,23,0,,0
47,26/01/97,35,17,3,48,25,56,0,,0
48,02/02/97,47,5,34,28,2,50,0,,0
49,09/02/97,33,7,43,35,13,55,1,RJ,8.405.156
50,16/02/97,57,44,21,16,58,6,0,,0
51,23/02/97,23,24,42,25,17,47,0,,0
52,02/03/97,58,15,59,30,38,46,0,,0
53,09/03/97,42,13,3,46,38,16,0,,0
54,16/03/97,5,21,9,56,18,36,2,BA,7.469.653
55,23/03/97,29,2,14,38,23,52,0,,0
56,30/03/97,51,35,59,7,20,2,0,,0
57,06/04/97,27,17,16,34,7,59,0,,0
58,13/04/97,30,49,27,37,12,44,1,SP,3.631.304
59,20/04/97,28,13,34,2,8,54,0,,0
60,27/04/97,38,14,21,15,3,20,0,,0
61,04/05/97,59,8,18,29,42,44,0,,0
62,11/05/97,52,13,6,24,8,31,0,,0
63,18/05/97,26,9,41,49,25,40,1,MG,13.680.019
64,25/05/97,8,54,50,60,23,12,0,,0
65,01/06/97,20,1,5,32,25,34,0,,0
66,08/06/97,15,26,12,33,48,13,0,,0
67,15/06/97,47,14,27,52,17,12,0,,0
68,22/06/97,53,13,3,1,12,59,0,,0
69,29/06/97,56,58,34,53,25,45,0,,0
70,06/07/97,40,17,23,43,27,58,0,,0
71,13/07/97,53,16,45,43,33,27,0,,0
72,20/07/97,19,48,43,1,34,44,0,,0
73,27/07/97,57,25,45,28,51,26,1,BA,21.026.575
74,03/08/97,2,24,34,50,38,37,0,,0
75,10/08/97,36,49,37,35,24,21,0,,0
76,17/08/97,33,18,23,8,17,53,0,,0
77,24/08/97,29,54,40,57,49,21,0,,0
78,31/08/97,22,32,46,12,25,31,0,,0
79,07/09/97,43,25,2,13,31,17,1,RS,6.770.601
80,14/09/97,51,40,37,23,48,28,0,,0
81,21/09/97,47,41,10,60,54,23,0,,0
82,28/09/97,51,36,53,29,18,15,1,BA,13.877.826
83,05/10/97,24,16,4,42,57,15,0,,0
84,12/10/97,10,34,4,6,25,40,0,,0
85,19/10/97,47,15,30,37,45,6,0,,0
86,26/10/97,54,21,6,34,36,22,0,,0
87,02/11/97,40,4,28,32,11,5,0,,0
88,09/11/97,45,37,29,4,43,18,0,,0
89,16/11/97,59,42,34,13,44,55,0,,0
90,23/11/97,21,26,40,54,9,52,1,RJ,15.764.300
91,30/11/97,60,4,10,35,39,2,0,,0
92,07/12/97,5,23,51,3,1,24,0,,0
93,14/12/97,22,53,31,28,2,36,0,,0
94,21/12/97,28,51,55,18,52,8,0,,0
95,28/12/97,46,60,6,40,50,45,0,,0
96,04/01/98,4,42,58,26,7,40,1,,5.218.562
97,11/01/98,56,53,11,14,5,35,1,,727.932
98,18/01/98,43,33,14,31,35,13,0,,0
99,25/01/98,30,33,24,11,46,60,0,,0
100,01/02/98,46,48,30,14,29,51,0,,0
101,08/02/98,39,1,37,31,29,18,0,,0
102,15/02/98,44,42,37,56,19,20,1,,11.336.626
103,22/02/98,9,1,57,7,54,49,1,,696.984
104,01/03/98,13,1,38,21,52,4,0,,0
105,08/03/98,3,13,31,43,46,49,0,,0
106,15/03/98,24,16,38,5,39,35,0,,0
107,22/03/98,2,24,52,4,16,51,0,,0
108,29/03/98,60,29,34,24,21,59,0,,0
109,04/04/98,54,13,44,49,48,1,0,,0
110,11/04/98,57,58,18,31,43,52,0,,0
111,18/04/98,52,32,4,33,25,22,0,,0
112,25/04/98,37,43,34,20,12,42,1,,15.802.579
113,02/05/98,34,54,26,28,55,7,0,,0
114,09/05/98,47,54,18,6,12,37,0,,0
115,16/05/98,6,14,24,20,4,38,0,,0
116,23/05/98,36,42,32,5,13,51,0,,0
117,30/05/98,53,42,27,20,33,25,0,,0
118,06/06/98,22,57,37,9,25,56,0,,0
119,13/06/98,47,21,1,50,36,38,0,,0
120,20/06/98,46,45,16,40,27,3,0,,0
121,27/06/98,53,41,44,2,29,55,0,,0
122,04/07/98,20,43,39,11,53,17,0,,0
123,11/07/98,13,42,16,32,14,26,0,,0
124,18/07/98,52,5,34,57,15,41,1,,24.536.288
125,25/07/98,56,47,25,59,53,41,0,,0
126,01/08/98,32,28,6,10,11,40,0,,0
127,08/08/98,59,21,51,54,29,50,0,,0
128,15/08/98,23,43,3,21,9,18,0,,0
129,22/08/98,46,54,10,9,1,32,0,,0
130,29/08/98,13,42,38,49,53,29,0,,0
131,05/09/98,30,9,17,27,4,44,0,,0
132,12/09/98,44,35,50,41,9,7,0,,0
133,19/09/98,19,57,6,39,34,5,1,,30.533.241
134,26/09/98,60,32,25,36,52,4,0,,0
135,03/10/98,35,40,21,59,53,22,0,,0
136,10/10/98,17,25,45,38,1,59,0,,0
137,17/10/98,26,15,16,22,19,49,0,,0
138,24/10/98,41,14,37,5,40,27,0,,0
139,31/10/98,26,27,13,42,41,3,2,,3.902.486
140,07/11/98,55,31,46,44,41,7,0,,0
141,14/11/98,10,22,42,13,41,58,0,,0
142,21/11/98,20,59,19,54,15,8,0,,0
143,28/11/98,40,18,6,20,50,53,0,,0
144,05/12/98,8,32,44,36,45,55,1,,33.597.755
145,12/12/98,43,15,41,51,16,31,0,,0
146,19/12/98,51,34,25,60,42,32,0,,0
147,24/12/98,24,6,38,23,28,16,1,,3.805.750
148,31/12/98,32,55,59,41,58,35,0,,0
