Passageiros;Categoria;Número a bordo;% por total a bordo;Salvos;Mortos;% salvos;% mortos;% salvos por total a bordo;% mortos por total a bordo
Crianças;1ª Classe;6;0.3%;5;1;83%;17%;0.2%;0.04%
;2ª Classe;24;1.1%;24;0;100%;0%;1.1%;0%
;3ª Classe;79;3.6%;27;52;34%;66%;1.2%;2.4%
;Total;109;4.9%;56;53;51%;49%;2.5%;2.4%
Mulheres;1ª Classe;144;6.5%;140;4;97%;3%;6.3%;0.2%
;2ª Classe;93;4.2%;80;13;86%;14%;3.6%;0.6%
;3ª Classe;165;7.4%;76;89;46%;54%;3.4%;4.0%
;Tripulação;23;1.0%;20;3;87%;13%;0.9%;0.1%
;Total;425;19.1%;316;109;74%;26%;14.2%;4.9%
Homens;1ª Classe;175;7.9%;57;118;33%;67%;2.6%;5.3%
;2ª Classe;168;7.6%;14;154;8%;92%;0.6%;6.9%
;3ª Classe;462;20.8%;75;387;16%;84%;3.3%;17.4%
;Tripulação;885;39.8%;192;693;22%;78%;8.6%;31.2%
;Total;1.690;75.9%;338;1.352;20%;80%;15.2%;60.8%
Total;;2224;100%;710;1514;32%;68%;31.9%;68.1%
