
cod,período,numeros 
1076,1979,11217 
1076,1980,13911 
1076,1981,15216 
1076,1982,15554 
1076,1983,17410 
1076,1984,19768 
1076,1985,19748 
1076,1986,20483 
1076,1987,23100 
1076,1988,23370 
1076,1989,28767 
1076,1990,32015 
1076,1991,30752 
1076,1992,28555 
1076,1993,30618 
1076,1994,32631 
1076,1995,37152 
1076,1996,38929 
1076,1997,40531 
1076,1998,41974
1076,1999,42947 
1076,2000,45433
1076,2001,48032 
1076,2002,49816 
1076,2003,51534 
1076,2004,48909 
1076,2005,48136 
1076,2006,49704 
1076,2007,48219 
1076,2008,50659 
1076,2013,57396 
1076,2014,60474 
1076,2015,59080 
1076,2016,62517 
1076,2017,65602





