cod ,País,Ano,Num
1076,BRA,1980,12535
1076,BRA,1981,13706
1076,BRA,1982,14035
1076,BRA,1983,15699
1076,BRA,1984,18004
1076,BRA,1985,17966
1076,BRA,1986,18660
1076,BRA,1987,21148
1076,BRA,1988,21328
1076,BRA,1989,26392
1076,BRA,1990,29390
1076,BRA,1991,27969
1076,BRA,1992,26098
1076,BRA,1993,27932
1076,BRA,1994,29740
1076,BRA,1995,33774
1076,BRA,1996,35205
1076,BRA,1997,36904
1076,BRA,1998,38427
1076,BRA,1999,39367
1076,BRA,2000,41657
1076,BRA,2001,44129
1076,BRA,2002,45895
1076,BRA,2003,47569
1076,BRA,2004,45053
1076,BRA,2005,44220
1076,BRA,2006,45611
1076,BRA,2007,44392
1076,BRA,2008,46564
1076,BRA,2009,47713
1076,BRA,2010,48493
1076,BRA,2011,48218
1076,BRA,2012,52242
1076,BRA,2013,52522
1076,BRA,2014,55525
1076,BRA,2015,54361
1076,BRA,2016,57773
1076,BRA,2017,60559
